pairs_per_week,free_time_hours
26.468079,-1.3736827
27.450119,-4.0802197
11.485912,25.38497
28.77917,-3.455677
11.713447,23.64124
18.026861,10.817774
7.6971745,30.955425
23.80924,1.4105048
28.223145,0.8700266
3.9955778,33.248463
28.037943,-2.6213746
17.80739,10.975454
26.082132,1.41646
17.031458,8.072524
22.232822,6.248515
12.882135,17.554491
26.563288,2.4633408
17.217134,21.846535
7.997401,29.718723
18.823475,15.843477
8.08895,29.16689
13.240908,17.987066
8.907625,29.804668
24.950565,-1.7860408
3.1594472,40.46925
8.084845,33.37782
10.764379,26.493479
5.980913,31.196869
16.415747,16.510916
0.18481314,41.838123
28.546637,-7.991046
2.2579765,34.082596
26.58041,-1.3291879
17.496286,12.747582
10.129432,24.916
24.269249,5.0763345
17.33776,16.649502
27.11945,-0.13184434
16.639795,17.399448
10.2694025,24.422134
19.030254,11.863727
10.932308,24.527943
21.312862,13.015735
28.392332,-2.063133
23.670893,6.3188853
8.442412,32.22899
23.65897,4.2573743
17.683893,16.727396
22.617525,6.6598253
5.8574243,27.208735
0.15137315,40.956482
9.204592,31.311249
3.4946573,32.376186
27.308083,0.16357207
19.32047,11.283024
21.213203,4.4557447
19.743917,8.68535
14.73906,19.088175
26.739124,3.9997845
4.342296,32.730885
15.944456,21.784252
4.761897,37.942398
19.62528,10.646349
9.834266,24.722492
19.596245,11.831265
11.874878,18.404879
27.440878,1.5882299
6.1094713,30.751774
6.05403,30.263626
6.05349,31.418665
28.491642,3.6950397
19.998766,15.115552
29.433762,0.4874816
2.6208563,37.70298
0.12185812,42.797592
3.2645435,36.623196
4.9096637,32.216442
21.075602,4.844346
20.371138,5.594506
27.463865,0.14966035
7.253619,30.590433
4.774323,31.52612
22.958672,1.901659
8.936933,24.838356
24.103857,5.843337
11.440491,22.61647
23.580688,4.0001526
3.34548,35.480743
7.4302535,23.359734
19.573147,11.711264
18.171114,15.486197
11.175619,29.801281
23.941042,1.1329806
25.197138,-5.2610855
4.1224,32.82244
6.991977,32.042774
28.734928,-4.057111
9.938513,28.738506
9.682254,29.736526
0.48608065,39.106926
6.4099464,30.45918
18.747055,8.686972
13.0201025,18.189266
4.11171,32.609917
15.3518505,17.903831
4.7537775,33.983685
2.2740502,37.397976
6.7400603,32.25989
1.8718189,40.02609
5.448929,27.079391
29.994133,-2.0298123
17.833124,16.687334
19.622396,2.4342098
1.0097355,36.646378
5.1483927,36.4526
10.007163,25.657818
17.345566,16.033278
1.8011802,33.324463
8.536904,25.646399
6.0199714,32.770596
15.041569,18.681168
9.418451,29.97139
13.960564,23.243322
4.835554,30.527893
4.7040725,31.493912
6.248973,28.405659
9.865539,26.144535
3.1607866,35.683487
27.577047,-2.2702978
12.02304,17.75542
27.90595,-5.840128
19.67373,7.5051384
2.2980452,35.070934
25.380527,5.3390446
10.872828,22.305237
9.250109,30.384773
2.5489426,38.63979
0.08759022,39.666027
19.29166,13.909709
11.723342,21.219976
20.839848,10.809934
2.6900482,32.026123
26.136436,0.90875626
3.989194,30.505573
12.4099,28.484404
18.133045,10.903402
22.743776,4.799783
27.109655,-5.739473
28.664389,-7.148236
3.1061678,36.80136
18.77501,8.831397
8.548111,27.27668
13.356228,24.51493
3.7726486,33.024242
28.66288,-4.194037
3.9907427,30.026484
23.01677,10.249033
20.271593,9.230169
19.87434,8.739428
6.890307,30.004433
28.634274,0.4164412
18.296257,16.302912
16.929602,18.863731
1.7811781,37.784023
21.296827,11.344684
12.749691,18.824383
8.128136,28.005926
27.8842,-1.8286191
18.344233,12.105511
6.700854,28.110863
7.407916,27.437479
14.283665,16.948841
23.37542,1.75771
11.166993,24.1667
6.4413767,31.583109
9.863357,23.052723
3.7938774,34.926804
20.349487,10.292366
26.610603,0.26666045
0.87839484,35.150093
18.48376,17.139442
22.748877,8.430483
17.71994,12.21868
9.658131,23.686323
22.829132,7.896382
22.882698,7.2654886
20.608908,6.356249
12.364179,23.512661
11.027981,22.107111
16.604713,14.874032
12.350188,19.830853
10.529984,20.777363
24.588104,0.1150403
27.890993,-2.0257895
13.515039,16.845396
11.641547,25.031853
15.218884,20.711498
14.104377,17.849152
18.606169,14.039261
19.203505,11.47962
1.3761485,40.794273
9.464434,29.370552
27.631943,-3.152823
20.843325,6.1845493
14.253937,15.72755
5.9564137,23.364998
5.8229237,33.39445
1.5634972,40.11428
10.110563,27.577215
20.065563,12.930168
24.564325,5.837372
21.92546,6.2484164
1.7408395,33.297432
5.9795628,31.609528
12.6327505,19.219872
29.510242,-3.7756622
17.169863,13.071656
11.115438,23.836405
21.205729,5.5801926
9.286777,26.16136
5.2911654,33.628334
25.948309,-0.3140645
8.179473,28.277924
11.992999,20.85052
0.07793605,34.393196
25.039059,3.5355396
26.36452,2.8211675
20.466722,5.2977524
4.540887,37.220222
0.1959014,35.829453
2.8173156,38.072758
26.185503,2.6579456
22.201586,9.031269
27.622566,-1.6067187
22.858047,1.7615306
18.796383,12.279985
14.853109,18.48243
3.5924096,34.074207
2.1484172,40.37523
0.96977055,37.257694
21.140429,9.920965
7.63548,26.982533
11.981212,19.755526
6.367421,30.221985
12.266646,16.387222
4.4424767,32.960228
5.198765,28.104406
19.975662,13.371745
10.542054,23.057814
24.260147,6.57203
10.187868,26.642702
3.9964914,30.011215
12.353416,27.491138
7.728789,24.64751
10.410876,27.740295
0.72006583,44.239735
23.392365,7.679263
4.556932,34.626095
22.539267,10.666967
21.806763,7.329648
25.716492,7.0037556
3.4942193,42.62511
25.787952,2.4252272
7.9087257,29.277803
20.566038,12.922321
29.08672,0.021826506
12.884522,22.425064
14.883998,27.827015
11.546541,24.1019
2.475232,38.23816
22.198544,10.200901
0.10923207,39.88696
24.311998,4.233156
26.223377,4.8899727
29.185596,-9.984312
11.461807,25.412994
2.6753712,33.577297
18.372454,9.078617
23.28641,5.6573067
0.07036865,37.549892
11.595245,20.771309
6.0081677,32.79561
13.688044,16.959389
7.6167974,27.575026
8.868486,28.274668
10.238117,29.691193
0.7454395,39.17205
27.307613,-0.19019234
27.574968,0.055859566
12.646964,22.121624
13.291769,19.218744
8.8782015,23.570236
1.4540577,36.326077
0.40283382,38.848904
20.574877,8.501679
6.7643075,32.30219
5.3568454,34.65938
13.829652,18.79387
10.004833,23.288158
10.147188,24.518831
